,CO2,RCP26,RCP45,RCP60,RCP85
840,279.334,na,na,na,na
841,279.334,na,na,na,na
842,279.339,na,na,na,na
843,279.349,na,na,na,na
844,279.349,na,na,na,na
845,279.352,na,na,na,na
846,279.349,na,na,na,na
847,279.349,na,na,na,na
848,279.352,na,na,na,na
849,279.355,na,na,na,na
850,279.353,na,na,na,na
851,279.355,na,na,na,na
852,279.352,na,na,na,na
853,279.352,na,na,na,na
854,279.35,na,na,na,na
855,279.348,na,na,na,na
856,279.346,na,na,na,na
857,279.349,na,na,na,na
858,279.348,na,na,na,na
859,279.347,na,na,na,na
860,279.351,na,na,na,na
861,279.345,na,na,na,na
862,279.347,na,na,na,na
863,279.348,na,na,na,na
864,279.347,na,na,na,na
865,279.336,na,na,na,na
866,279.326,na,na,na,na
867,279.317,na,na,na,na
868,279.314,na,na,na,na
869,279.312,na,na,na,na
870,279.308,na,na,na,na
871,279.306,na,na,na,na
872,279.303,na,na,na,na
873,279.285,na,na,na,na
874,279.276,na,na,na,na
875,279.269,na,na,na,na
876,279.259,na,na,na,na
877,279.252,na,na,na,na
878,279.238,na,na,na,na
879,279.227,na,na,na,na
880,279.224,na,na,na,na
881,279.216,na,na,na,na
882,279.204,na,na,na,na
883,279.191,na,na,na,na
884,279.185,na,na,na,na
885,279.17,na,na,na,na
886,279.158,na,na,na,na
887,279.147,na,na,na,na
888,279.148,na,na,na,na
889,279.14,na,na,na,na
890,279.129,na,na,na,na
891,279.122,na,na,na,na
892,279.109,na,na,na,na
893,279.098,na,na,na,na
894,279.086,na,na,na,na
895,279.078,na,na,na,na
896,279.07,na,na,na,na
897,279.055,na,na,na,na
898,279.045,na,na,na,na
899,279.038,na,na,na,na
900,279.021,na,na,na,na
901,279.015,na,na,na,na
902,279.002,na,na,na,na
903,278.994,na,na,na,na
904,278.989,na,na,na,na
905,278.981,na,na,na,na
906,278.961,na,na,na,na
907,278.95,na,na,na,na
908,278.938,na,na,na,na
909,278.93,na,na,na,na
910,278.918,na,na,na,na
911,278.909,na,na,na,na
912,278.899,na,na,na,na
913,278.894,na,na,na,na
914,278.883,na,na,na,na
915,278.871,na,na,na,na
916,278.866,na,na,na,na
917,278.857,na,na,na,na
918,278.849,na,na,na,na
919,278.831,na,na,na,na
920,278.817,na,na,na,na
921,278.804,na,na,na,na
922,278.792,na,na,na,na
923,278.784,na,na,na,na
924,278.772,na,na,na,na
925,278.768,na,na,na,na
926,278.753,na,na,na,na
927,278.742,na,na,na,na
928,278.74,na,na,na,na
929,278.723,na,na,na,na
930,278.713,na,na,na,na
931,278.704,na,na,na,na
932,278.696,na,na,na,na
933,278.684,na,na,na,na
934,278.679,na,na,na,na
935,278.673,na,na,na,na
936,278.658,na,na,na,na
937,278.649,na,na,na,na
938,278.644,na,na,na,na
939,278.639,na,na,na,na
940,278.63,na,na,na,na
941,278.622,na,na,na,na
942,278.617,na,na,na,na
943,278.611,na,na,na,na
944,278.615,na,na,na,na
945,278.624,na,na,na,na
946,278.63,na,na,na,na
947,278.635,na,na,na,na
948,278.635,na,na,na,na
949,278.64,na,na,na,na
950,278.652,na,na,na,na
951,278.653,na,na,na,na
952,278.661,na,na,na,na
953,278.672,na,na,na,na
954,278.699,na,na,na,na
955,278.708,na,na,na,na
956,278.719,na,na,na,na
957,278.727,na,na,na,na
958,278.735,na,na,na,na
959,278.75,na,na,na,na
960,278.757,na,na,na,na
961,278.763,na,na,na,na
962,278.775,na,na,na,na
963,278.787,na,na,na,na
964,278.796,na,na,na,na
965,278.81,na,na,na,na
966,278.82,na,na,na,na
967,278.839,na,na,na,na
968,278.854,na,na,na,na
969,278.89,na,na,na,na
970,278.907,na,na,na,na
971,278.923,na,na,na,na
972,278.949,na,na,na,na
973,278.96,na,na,na,na
974,278.963,na,na,na,na
